Code.Pays,Nom.Pays,Surface_forestiere_km2,nbr_touristes,Depense_tourisme,CO2.en.t,PIB_en_M,Superficie,Population,industrie_en_pourcentage,pourcentage_tourisme,pourcentage_foret,emissions_par_hab,PIB_par_habitant
THA,Thailande,200610,29923000,9539000000,264000000,401296.24,513120,70294397,36.18,2.3770469416807893,39.096117867165574,3.7556336104568904,5708.794116265055
TLS,Timor Leste,9281,61600,100000000,519999.9809,1594.45,14870,1205813,18.31,6.271755150678918,62.41425689307331,0.43124429816231874,1322.3028778094115
TON,Tonga,89.5,72600,32400001,119999.9973,437,750,106122,15.49,7.414187871853548,11.933333333333334,1.1307739893707243,4117.90203727785
TTO,Trinite-et-Tobago,2302.9,519000,253000000,21329999.92,26851.97,5130,1460177,36.88,0.9422027508596202,44.890838206627684,14.607818038498074,18389.530858245267
TUN,Tunisie,6950.8,5359000,767000000,30479999.54,45779.49,163610,11557779,24.9,1.6754227712016887,4.248395574842614,2.637184838021215,3960.9244994215583
TUR,Turquie,216303,41114000,5635000000,351589996.3,864313.96,785350,79646178,27.83,0.6519621643042767,27.54224231234482,4.41439884660881,10851.920100924366
TUV,Tuvalu,10,2400,9399999,9999.999776,36.81,30,10877,7.02,25.536536267318667,33.33333333333333,0.9193711295393951,3384.2052036407104
TZA,Tanzanie,480900,1137000,1288000000,11689999.58,47378.6,947300,52542823,24.49,2.7185269298797348,50.76533305183152,0.2224851828003227,901.7140171551117
UGA,Ouganda,25441.6,1303000,278000000,4719999.79,32387.18,241550,37477356,27.11,0.8583643281076031,10.532643345063134,0.125942710312862,864.179959760235
UKR,Ukraine,96570,13025000,5408000000,191070007.3,91030.97,603550,45154036,21.73,5.940835300337896,16.000331372711457,4.231515590322868,2016.0095987875811
URY,Uruguay,19200,3286000,1384000000,6639999.866,57680.33,176220,3402818,25.44,2.3994314873025173,10.895471569628873,1.9513238339517425,16950.75375762089
UZB,Ouzbekistan,35494,1918000,1902000000,99169998.17,86196.26,448924,31298900,22.52,2.206592258179183,7.906460781780435,3.1684819009613756,2753.970906325781
VCT,Saint-Vincent-et-les Grenadines,285.4,207000,40000000,250000,786.55,390,106482,14.95,5.0854999682156254,73.17948717948717,2.347814654119945,7386.694464792171
VEN,Venezuela,466830,882000,3249000000,163130004.9,482359.32,912050,30529716,37.2,0.6735642632550357,51.18469382161066,5.3433187816093675,15799.66613511898
VNM,Viet Nam,140618.6,7944000,3595000000,220649993.9,239258.34,331230,92191398,34.27,1.5025599525600655,42.4534613410621,2.3933902586009164,2595.234969752818
VUT,Vanuatu,4423,287000,34000000,140000.0006,730.87,12190,276438,9.92,4.651990093997565,36.28383921246924,0.5064426764771848,2643.883981218212
WSM,Samoa,1640.7,139000,2900000,239999.9946,824.15,2840,203571,14.5,0.35187769216768794,57.771126760563384,1.178949823894366,4048.4646634343794
YEM,Yemen,5490,398000,79000000,13550000.19,42444.49,527970,28516545,23.58,0.18612545468210362,1.03983180862549,0.47516275867220237,1488.4162860542888
ZAF,Afrique du Sud,172320.9,13952000,5734000000,424809997.6,346709.79,1219090,55876504,23.73,1.653832734287659,14.135207408804929,7.602658849236524,6204.929893251732
ZMB,Zambie,457551,932000,400000000,4960000.038,21251.22,752610,16248230,33.66,1.8822448781764058,60.79523259058477,0.3052640218657663,1307.9098461801686
